Tema;Categoría;Pregunta ABC AFIP;Preguntas Similares;Respuesta AFIP;Respuesta Bill
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Puedo darme de baje por el tiempo en que no realice la actividad luego darme de alta cuando la retome?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;Si dejo de trabajar por un tiempo, ¿puedo darme de baja y luego volver a darme de alta?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Puedo dar de baja mi monotributo y transcurrido un período de tiempo, darme de alta nuevamente?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Es obligatorio seguir inscripto en el régimen si dejo de ejercer mi actividad?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Qué sucede si me doy de baja y luego retomo mi actividad? ¿Me tengo que dar de alta de nuevo?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Puedo suspender mi inscripción hasta que retome mi actividad?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?;¿Se puede interrumpir la inscripción del monotributo hasta que vuelva a ejercer mi actividad?;"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP";"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez que finalices la actividad tendrás que solicitar la baja. Si retomas la actividad podrás, en cualquier momento, volver adherir al Monotributo.

Fuente: CIT AFIP"
Monotributo;Baja;¿En qué situaciones se producirá la exclusión del Monotributo?;¿Puedo quedar excluido del Monotributo?¿Porqué?;"Quedará excluido cuando:
a) La suma de los ingresos brutos obtenidos de las actividades incluidas, en los últimos doce meses inmediatos anteriores a la obtención de cada nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de contribuyentes que efectúen venta de cosas muebles, supere $ 19.269,14
d) Adquieran bienes o realicen gastos, de índole personal, por un valor incompatible con los ingresos declarados y en tanto aquellos no se encuentren debidamente justificados por el contribuyente;
e) Registren depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual estén encuadrados;
f) Hayan perdido su calidad de Monotributistas o hayan realizado importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Realicen más de tres actividades simultáneas o posean más de tres unidades de explotación;
h) Realizando locaciones y/o prestaciones de servicios, se hubieran categorizado como si realizaran venta de cosas muebles;
i) Sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos inherentes al desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan para el pequeño contribuyente el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo.


Fuente: Art. 20 Ley 26.565";"Quedas excluido del Monotributo en el caso de que se produzca alguna de las siguientes situaciones: 
a) La suma de los ingresos brutos obtenidos de tus actividades, en los últimos doce meses, anteriores a la obtención de un nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de que tu actividad sea venta de cosas muebles, supere $ 29.119,56
d) Si compras bienes o realizas gastos, de índole personal, por un valor incompatible con los ingresos declarados.
e) Si tenes depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual te encuentres;
f) En el caso de haber perdido la calidad de Monotributista o si realizaste importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Si llevas adelante más de tres actividades simultáneas o tenes más de tres unidades de explotación;
h) Si tu actividad es de locaciones y/o prestaciones de servicios, y te categorizaste como si realizaran venta de cosas muebles;
i) Tus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos propios del desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo
"
Monotributo;Baja;¿En qué situaciones se producirá la exclusión del Monotributo?;¿AFIP me puede excluir del Monotributo?;"Quedará excluido cuando:
a) La suma de los ingresos brutos obtenidos de las actividades incluidas, en los últimos doce meses inmediatos anteriores a la obtención de cada nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de contribuyentes que efectúen venta de cosas muebles, supere $ 19.269,14
d) Adquieran bienes o realicen gastos, de índole personal, por un valor incompatible con los ingresos declarados y en tanto aquellos no se encuentren debidamente justificados por el contribuyente;
e) Registren depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual estén encuadrados;
f) Hayan perdido su calidad de Monotributistas o hayan realizado importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Realicen más de tres actividades simultáneas o posean más de tres unidades de explotación;
h) Realizando locaciones y/o prestaciones de servicios, se hubieran categorizado como si realizaran venta de cosas muebles;
i) Sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos inherentes al desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan para el pequeño contribuyente el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo.


Fuente: Art. 20 Ley 26.565";"Quedas excluido del Monotributo en el caso de que se produzca alguna de las siguientes situaciones: 
a) La suma de los ingresos brutos obtenidos de tus actividades, en los últimos doce meses, anteriores a la obtención de un nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de que tu actividad sea venta de cosas muebles, supere $ 29.119,56
d) Si compras bienes o realizas gastos, de índole personal, por un valor incompatible con los ingresos declarados.
e) Si tenes depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual te encuentres;
f) En el caso de haber perdido la calidad de Monotributista o si realizaste importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Si llevas adelante más de tres actividades simultáneas o tenes más de tres unidades de explotación;
h) Si tu actividad es de locaciones y/o prestaciones de servicios, y te categorizaste como si realizaran venta de cosas muebles;
i) Tus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos propios del desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo
"
Monotributo;Baja;¿En qué situaciones se producirá la exclusión del Monotributo?;¿Puedo quedar fuera del Monotributo?;"Quedará excluido cuando:
a) La suma de los ingresos brutos obtenidos de las actividades incluidas, en los últimos doce meses inmediatos anteriores a la obtención de cada nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de contribuyentes que efectúen venta de cosas muebles, supere $ 19.269,14
d) Adquieran bienes o realicen gastos, de índole personal, por un valor incompatible con los ingresos declarados y en tanto aquellos no se encuentren debidamente justificados por el contribuyente;
e) Registren depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual estén encuadrados;
f) Hayan perdido su calidad de Monotributistas o hayan realizado importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Realicen más de tres actividades simultáneas o posean más de tres unidades de explotación;
h) Realizando locaciones y/o prestaciones de servicios, se hubieran categorizado como si realizaran venta de cosas muebles;
i) Sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos inherentes al desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan para el pequeño contribuyente el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo.


Fuente: Art. 20 Ley 26.565";"Quedas excluido del Monotributo en el caso de que se produzca alguna de las siguientes situaciones: 
a) La suma de los ingresos brutos obtenidos de tus actividades, en los últimos doce meses, anteriores a la obtención de un nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de que tu actividad sea venta de cosas muebles, supere $ 29.119,56
d) Si compras bienes o realizas gastos, de índole personal, por un valor incompatible con los ingresos declarados.
e) Si tenes depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual te encuentres;
f) En el caso de haber perdido la calidad de Monotributista o si realizaste importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario;
g) Si llevas adelante más de tres actividades simultáneas o tenes más de tres unidades de explotación;
h) Si tu actividad es de locaciones y/o prestaciones de servicios, y te categorizaste como si realizaran venta de cosas muebles;
i) Tus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios;
j) El importe de las compras más los gastos propios del desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo
"
